circulating_supply,currency,inflation,inflation_total,real_yield,staked_supply,staking_rate,timestamp,total_supply,yield,open,high,low,close,volume,market_cap
246003602,Cosmos,0.069168,0.069168,0.02301,181459462,0.73763,2019-10-19T23:52:58.332229,246003602,0.09377,2.75,2.81,2.71,2.76,123206076,526511272
245956793,Cosmos,0.069211,0.069211,0.02302,181443066,0.7377,2019-10-18T23:52:50.585810,245956793,0.09382,2.92,2.93,2.72,2.75,139559230,525121084
245909961,Cosmos,0.069254,0.069254,0.02364,180160504,0.73263,2019-10-17T23:52:39.751809,245909961,0.09453,2.85,2.96,2.76,2.92,130110997,556695074
245863098,Cosmos,0.06967,0.06967,0.02371,180247978,0.73312,2019-10-16T23:52:48.740355,245863098,0.09503,2.95,2.96,2.72,2.85,145829662,543831446
245816176,Cosmos,0.069254,0.069254,0.02359,180184672,0.73301,2019-10-15T23:52:47.990599,245816176,0.09448,3.1,3.15,2.91,2.95,159637351,562462768
245769583,Cosmos,0.069699,0.069699,0.02445,178708203,0.72714,2019-10-14T23:52:35.880853,245769583,0.09585,2.88,3.12,2.88,3.1,160775420,591511951
245722830,Cosmos,0.069133,0.069133,0.02375,179706805,0.73134,2019-10-13T23:52:43.971580,245722830,0.09453,2.84,2.92,2.8,2.88,138183164,549067250
245676316,Cosmos,0.06928,0.06928,0.0238,179673360,0.73134,2019-10-12T23:52:45.596216,245676316,0.09473,2.84,2.87,2.8,2.84,130032625,541481340
245629713,Cosmos,0.069363,0.069363,0.02429,178712694,0.72757,2019-10-11T23:52:39.302710,245629713,0.09534,2.91,2.92,2.75,2.84,147536935,540687492
245583086,Cosmos,0.06961,0.06961,0.02448,178464379,0.7267,2019-10-10T23:52:49.147425,245583086,0.09579,2.91,3,2.74,2.9,170166340,553772569
245536269,Cosmos,0.069518,0.069518,0.02441,178499824,0.72698,2019-10-09T23:52:30.692467,245536269,0.09563,2.91,3.02,2.84,2.91,133198475,555297981
